symbol,industry
ADERY,"Machinery, Equipment & Components"
AI,Banking Services
ALL,Insurance
AMD,Semiconductors & Semiconductor Equipment
AMZN,Diversified Retail
ANF,Specialty Retailers
AREB,Aerospace & Defense
ARM,Semiconductors & Semiconductor Equipment
ASM,Semiconductors & Semiconductor Equipment
ASML,Semiconductors & Semiconductor Equipment
AVGO,Semiconductors & Semiconductor Equipment
AXON,Aerospace & Defense
BA,Aerospace & Defense
BABA,Software & IT Services
BAH,Software & IT Services
BG,Food & Tobacco
CAT,Software & IT Services
CB,Insurance
CCI,Residential & Commercial REIT
CDE,Metals & Mining
CDW,Integrated Hardware & Software
CG,Investment Banking & Investment Services
COF,Banking Services
COOP,Banking Services
COST,Diversified Retail
CRTO,Media & Publishing
CRWD,Software & IT Services
CSX,Freight & Logistics Services
CVNA,Specialty Retailers
CVS,Healthcare Providers & Services
CVX,Oil & Gas
DADA,Software & IT Services
DFS,Banking Services
DIS,Media & Publishing
DUOL,Software & IT Services
DVN,Oil & Gas
EA,Software & IT Services
EFX,Professional & Commercial Services
EMR,"Machinery, Equipment & Components"
EQR,Residential & Commercial REIT
EXEL,Biotechnology & Medical Research
EXPE,Hotels & Entertainment Services
F,Automobiles & Auto Parts
FTNT,Software & IT Services
FTS,Electrical Utilities & IPPs
GD,Aerospace & Defense
GGG,"Machinery, Equipment & Components"
GOOG,Software & IT Services
H,Hotels & Entertainment Services
HESG,Biotechnology & Medical Research
HLT,Hotels & Entertainment Services
HXL,Aerospace & Defense
IBM,Software & IT Services
INTC,Semiconductors & Semiconductor Equipment
ISRG,Healthcare Equipment & Supplies
IVZ,Investment Banking & Investment Services
JEPI,ETF
JEPQ,ETF
JPM,Banking Services
KLAC,Semiconductors & Semiconductor Equipment
KO,Beverages
KR,Food & Drug Retailing
LDOS,Software & IT Services
LFVN,Pharmaceuticals
LMT,Aerospace & Defense
LOCL,Food & Tobacco
LVS,Hotels & Entertainment Services
M,Diversified Retail
MCK,Pharmaceuticals
MDLZ,Food & Tobacco
META,Software & IT Services
MPWR,Semiconductors & Semiconductor Equipment
MSFT,Software & IT Services
MUSA,Oil & Gas
NBIX,Biotechnology & Medical Research
NOC,Aerospace & Defense
NOW,Software & IT Services
NRHI,Metals & Mining
NVDA,Semiconductors & Semiconductor Equipment
ORLY,Specialty Retailers
PFE,Pharmaceuticals
PG,Personal & Household Products & Services
PINC,Healthcare Equipment & Supplies
PLAB,Semiconductors & Semiconductor Equipment
PLTR,Software & IT Services
PLUG,Renewable Energy
PYPL,Professional & Commercial Services
RBLX,Software & IT Services
RMD,Healthcare Equipment & Supplies
RSSS,Software & IT Services
RTX,Aerospace & Defense
SBUX,Hotels & Entertainment Services
SDS,ETF
SEF,ETF
SLB,Oil & Gas Related Equipment and Services
SMG,Chemicals
SPY,ETF
STE,Healthcare Equipment & Supplies
STEM,Renewable Energy
SU,Oil & Gas
SWKS,Semiconductors & Semiconductor Equipment
SYK,Healthcare Equipment & Supplies
TFC,Banking Services
TOKE,Consumer Discretionary
TSLA,Automobiles & Auto Parts
TXN,Semiconductors & Semiconductor Equipment
UBER,Software & IT Services
URI,Professional & Commercial Services
USNA,Food & Tobacco
VRTX,Biotechnology & Medical Research
VZ,Telecommunications Services
WBA,Food & Drug Retailing
WBD,Media & Publishing
WMT,Food & Drug Retailing
XOM,Oil & Gas
YUM,Hotels & Entertainment Services
