Date,symbol,Change (%),industry
2025-01-21,BAH,3.917416870044831,Software & IT Services
2025-01-21,RSSS,3.7634372421738624,Software & IT Services
2025-01-21,ARM,3.5702306485265107,Semiconductors & Semiconductor Equipment
2025-01-21,NOC,2.948982083067602,Aerospace & Defense
2025-01-21,SBUX,2.69363756019313,Hotels & Entertainment Services
2025-01-21,AREB,-7.731963450678695,Aerospace & Defense
2025-01-21,PLUG,-6.779654852722472,Renewable Energy
2025-01-21,ANF,-5.344430467801222,Specialty Retailers
2025-01-21,DUOL,-4.453258136176522,Software & IT Services
2025-01-21,EXPE,-4.046553309591341,Hotels & Entertainment Services
