timestamp,symbol,bid_price,bid_size,ask_price,ask_size,trade_price,trade_size
2025-08-05 08:17:19,SPY,627.98,53,628.03,751,628.00,89
2025-08-05 08:17:21,SPY,627.98,53,628.03,751,628.00,89
2025-08-05 08:17:23,SPY,627.98,53,628.03,751,628.00,89
2025-08-05 08:17:25,SPY,628.08,150,628.14,359,628.07,50
2025-08-05 08:17:27,SPY,628.08,150,628.14,359,628.07,50
2025-08-05 08:17:30,SPY,628.08,150,628.14,359,628.07,50
2025-08-05 08:17:32,SPY,628.08,150,628.14,359,628.07,50
2025-08-05 08:17:34,SPY,628.08,150,628.14,359,628.07,50
2025-08-05 08:17:36,SPY,627.98,500,628.04,750,627.98,100
2025-08-05 08:17:38,SPY,627.98,500,628.04,750,627.98,100
2025-08-05 08:17:40,SPY,627.98,500,628.04,750,627.98,100
2025-08-05 08:17:42,SPY,627.98,500,628.04,750,627.98,100
2025-08-05 08:17:44,SPY,627.99,450,628.05,650,628.00,30
2025-08-05 08:17:47,SPY,627.99,450,628.05,650,628.00,30
2025-08-05 08:17:49,SPY,627.99,450,628.05,650,628.00,30
2025-08-05 08:17:51,SPY,627.99,450,628.05,650,628.00,30
2025-08-05 08:17:53,SPY,627.99,450,628.05,650,628.00,30
2025-08-05 08:17:55,SPY,628.02,150,628.07,258,628.05,100
2025-08-05 08:17:57,SPY,628.02,150,628.07,258,628.05,100
2025-08-05 08:17:59,SPY,628.02,150,628.07,258,628.05,100
2025-08-05 08:18:02,SPY,628.04,450,628.10,256,628.03,70
2025-08-05 08:18:04,SPY,628.04,450,628.10,256,628.03,70
2025-08-05 08:18:06,SPY,628.02,550,628.08,550,628.02,6
2025-08-05 08:18:08,SPY,628.02,550,628.08,550,628.02,6
2025-08-05 08:18:10,SPY,628.05,250,628.10,500,628.06,1
2025-08-05 08:18:12,SPY,628.05,250,628.10,500,628.06,1
2025-08-05 08:18:14,SPY,628.05,250,628.10,500,628.06,1
