strike_k,opt_side,mid,bid,ask,spread,volume_x,oi_x,iv_x,gamma_x,imbalance,barrier_strength,tunnel_prob,tunnel_flag
665.0,,0.005,0.0,0.01,0.01,323735,10171,0.283,0.0366,0,2.116491369470276e-07,0.9998941810307487,HIGH
664.0,,0.005,0.0,0.01,0.01,414833,7279,0.1685,0.0906,0,2.811892967153486e-07,0.9998594152346068,HIGH
666.0,,0.005,0.0,0.01,0.01,173629,7250,0.3916,0.0206,0,2.8235511147079944e-07,0.9998588324093468,HIGH
670.0,,0.005,0.0,0.01,0.01,60916,20693,0.7984,0.0058,0,3.069485213217019e-07,0.999846537515911,HIGH
667.0,,0.005,0.0,0.01,0.01,95561,7772,0.4966,0.0135,0,3.8974375485663285e-07,0.9998051471088627,HIGH
663.0,,0.07500000000000001,0.07,0.08,0.009999999999999995,452707,8315,0.1084,0.914,0,4.0019726345022e-07,0.9997999213866708,HIGH
668.0,,0.005,0.0,0.01,0.01,58834,7699,0.5991,0.0096,0,5.017487709065646e-07,0.999749157080894,HIGH
672.0,,0.005,0.0,0.01,0.01,20579,14629,0.992,0.0039,0,5.726169444948666e-07,0.9997137325101119,HIGH
669.0,,0.005,0.0,0.01,0.01,35234,6715,0.6995,0.0073,0,6.815687830210598e-07,0.9996592736688946,HIGH
673.0,,0.005,0.0,0.01,0.01,11075,11930,1.0872,0.0033,0,7.996115101551075e-07,0.9996002741565932,HIGH
675.0,,0.005,0.0,0.01,0.01,4736,9592,1.2748,0.0025,0,1.0948930965948963e-06,0.9994527032732232,HIGH
671.0,,0.005,0.0,0.01,0.01,12848,7033,0.8958,0.0047,0,1.1229447350448678e-06,0.9994386852285907,HIGH
674.0,,0.005,0.0,0.01,0.01,5169,7519,1.1814,0.0028,0,1.3341518542629933e-06,0.9993331465185493,HIGH
662.0,,0.8400000000000001,0.81,0.87,0.05999999999999994,249263,9591,0.1857,0.2947,0,1.4562208315437392e-06,0.9992721545922947,HIGH
661.0,,1.8250000000000002,1.8,1.85,0.050000000000000044,116273,7207,0.3162,0.1072,0,1.536695690670075e-06,0.9992319472582851,HIGH
670.0,,1.3849999999999998,1.38,1.39,0.010000000000000009,32872,61416,0.1375,0.0329,0,1.542634746481554e-06,0.9992289800155391,HIGH
660.0,,2.825,2.8,2.85,0.050000000000000266,71559,14367,0.4334,0.053,0,1.611134108434907e-06,0.9991947573278123,HIGH
675.0,,0.395,0.39,0.4,0.010000000000000009,28483,37130,0.127,0.0194,0,2.400083442068975e-06,0.998800678041088,HIGH
663.0,,1.99,1.98,2.0,0.020000000000000018,72311,2065,0.1471,0.0774,0,2.741996982602875e-06,0.9986299408977808,HIGH
664.0,,1.48,1.47,1.49,0.020000000000000018,66988,1580,0.1428,0.0781,0,3.063812545713687e-06,0.9984692664966235,HIGH
665.0,,3.4400000000000004,3.43,3.45,0.020000000000000018,32559,27740,0.1521,0.0373,0,3.2709346934664833e-06,0.9983658693012072,HIGH
665.0,,1.06,1.05,1.07,0.020000000000000018,60669,2437,0.139,0.075,0,3.4199975506045957e-06,0.9982914624395929,HIGH
670.0,,0.135,0.13,0.14,0.010000000000000009,37120,5384,0.1346,0.0272,0,3.4957606443108476e-06,0.9982536463310563,HIGH
662.0,,2.59,2.58,2.6,0.020000000000000018,51932,1858,0.1524,0.0736,0,3.6595174293099767e-06,0.9981719142732783,HIGH
659.0,,3.825,3.8,3.85,0.050000000000000266,18040,4702,0.58,0.0345,0,4.548568680617361e-06,0.9977282998848628,HIGH
666.0,,0.735,0.73,0.74,0.010000000000000009,26800,1592,0.1363,0.068,0,5.167966277411771e-06,0.9974193524720522,HIGH
667.0,,0.495,0.49,0.5,0.010000000000000009,23471,2491,0.1346,0.0582,0,5.723040718962854e-06,0.9971425698875306,HIGH
655.0,,7.824999999999999,7.8,7.85,0.04999999999999982,4947,4138,1.0643,0.012,0,6.204603702899654e-06,0.9969025053145607,HIGH
656.0,,6.824999999999999,6.8,6.85,0.04999999999999982,5735,3788,0.9465,0.0148,0,6.655961274758221e-06,0.99667755095214,HIGH
660.0,,6.5,6.48,6.52,0.03999999999999915,14470,29849,0.168,0.0325,0,6.71519124746474e-06,0.9966480347971323,HIGH
671.0,,0.08499999999999999,0.08,0.09,0.009999999999999995,19514,2303,0.1356,0.0192,0,6.760085144056559e-06,0.9966256633413124,HIGH
670.0,,0.435,0.43,0.44,0.010000000000000009,17488,5149,0.129,0.0344,0,6.84855366412178e-06,0.9965815793175842,HIGH
668.0,,0.325,0.32,0.33,0.010000000000000009,18300,3109,0.1337,0.0474,0,6.98680581197861e-06,0.9965126919266415,HIGH
661.0,,3.275,3.26,3.29,0.03000000000000025,34612,1186,0.1588,0.0679,0,7.036162534481403e-06,0.9964880999298849,HIGH
672.0,,0.045,0.04,0.05,0.010000000000000002,16801,4094,0.133,0.0132,0,7.196344238704098e-06,0.996408293544766,HIGH
658.0,,4.82,4.79,4.85,0.05999999999999961,8884,3751,0.6803,0.0245,0,8.14305397456413e-06,0.9959367504409873,HIGH
672.0,,0.88,0.87,0.89,0.020000000000000018,11636,14254,0.1329,0.0282,0,8.718548368229796e-06,0.9956502136598799,HIGH
657.0,,5.82,5.79,5.85,0.05999999999999961,6061,3841,0.799,0.0187,0,8.846753735337573e-06,0.9955863918548996,HIGH
669.0,,0.20500000000000002,0.2,0.21,0.009999999999999981,13017,2506,0.1328,0.0367,0,9.7011901309459e-06,0.9951611500727947,HIGH
664.0,,3.975,3.96,3.99,0.03000000000000025,13097,10968,0.155,0.0369,0,1.0723130192280112e-05,0.9946527824407964,HIGH
665.0,,1.88,1.87,1.89,0.019999999999999796,14476,4209,0.1414,0.0549,0,1.1354092534929104e-05,0.9943390377088107,HIGH
665.0,,8.66,8.64,8.68,0.03999999999999915,2316,25716,0.1522,0.0177,0,1.1718794037946052e-05,0.9941577357688053,HIGH
674.0,,0.515,0.51,0.52,0.010000000000000009,6718,6448,0.1281,0.0224,0,1.1857431927697215e-05,0.9940888241919883,HIGH
675.0,,1.755,1.74,1.77,0.030000000000000027,5135,22241,0.122,0.0211,0,1.1975971254389979e-05,0.9940299066280714,HIGH
671.0,,1.1150000000000002,1.11,1.12,0.010000000000000009,5125,5689,0.1353,0.0307,0,1.3667921173394594e-05,0.9931893378182811,HIGH
669.0,,0.605,0.6,0.61,0.010000000000000009,8014,3176,0.1305,0.0403,0,1.3694534054951381e-05,0.9931761220911031,HIGH
673.0,,0.025,0.02,0.03,0.009999999999999998,7460,3137,0.1329,0.0088,0,1.4199656274884408e-05,0.9929253161005683,HIGH
660.0,,11.885,11.86,11.91,0.05000000000000071,3980,21915,0.1624,0.0163,0,1.4266908136559979e-05,0.9928919286239077,HIGH
670.0,,3.55,3.54,3.56,0.020000000000000018,9159,6508,0.1326,0.0242,0,1.4439790508520475e-05,0.9928061055774237,HIGH
664.0,,2.355,2.35,2.36,0.009999999999999787,7908,1136,0.1453,0.0552,0,1.5217833258345395e-05,0.9924199578959313,HIGH
669.0,,1.71,1.7,1.72,0.020000000000000018,6967,7005,0.1403,0.0347,0,1.5302797424363527e-05,0.9923777987244111,HIGH
667.0,,2.4800000000000004,2.47,2.49,0.020000000000000018,6866,6375,0.1458,0.0369,0,1.553843117541082e-05,0.9922608867600629,HIGH
662.0,,5.165,5.15,5.18,0.02999999999999936,8953,6988,0.1613,0.0351,0,1.5555362155737625e-05,0.9922524868208413,HIGH
674.0,,0.015,0.01,0.02,0.01,6615,2742,0.135,0.006,0,1.5831059068453404e-05,0.9921157157742712,HIGH
675.0,,0.065,0.06,0.07,0.010000000000000009,3800,6016,0.1261,0.0104,0,1.6155956459170668e-05,0.9919545609606478,HIGH
671.0,,0.305,0.3,0.31,0.010000000000000009,7852,1580,0.1277,0.0285,0,1.6602973054703806e-05,0.9917328756604407,HIGH
675.0,,0.015,0.01,0.02,0.01,3740,4136,0.1453,0.0044,0,1.747433056007815e-05,0.991300892827878,HIGH
673.0,,0.6799999999999999,0.67,0.69,0.019999999999999907,5936,7084,0.1305,0.0254,0,1.7654811144569587e-05,0.9912114415817198,HIGH
663.0,,4.555,4.54,4.57,0.03000000000000025,9109,4285,0.1583,0.0362,0,1.8863992498129853e-05,0.9906123455076211,HIGH
668.0,,0.815,0.81,0.82,0.009999999999999898,5828,1922,0.1316,0.0457,0,1.9607086707383214e-05,0.9902443547260283,HIGH
